"文件","起始行","结束行","符号","类型","作用"
"app/api/chat/attachments/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","4","4","导入@4","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","6","9","导入@6","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","10","10","导入@10","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","11","15","导入@11","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","16","16","导入@16","导入","引入本文件依赖"
"app/api/chat/attachments/route.ts","20","23","AttachmentsRequestBody","类型","定义 AttachmentsRequestBody 的数据契约"
"app/api/chat/attachments/route.ts","25","63","toAttachmentsErrorResponse","函数","实现 toAttachmentsErrorResponse 的调用与控制流程"
"app/api/chat/attachments/route.ts","65","88","parseAttachmentsRequest","函数","实现 parseAttachmentsRequest 的调用与控制流程"
"app/api/chat/attachments/route.ts","90","157","POST","函数","实现 POST 的调用与控制流程"
"app/api/chat/attachments/route.ts","130","130","函数@130","函数","实现 匿名逻辑 的调用与控制流程"
"app/api/chat/route.ts","1","1","导入@1","导入","引入本文件依赖"
"app/api/chat/route.ts","2","2","导入@2","导入","引入本文件依赖"
"app/api/chat/route.ts","3","3","导入@3","导入","引入本文件依赖"
"app/api/chat/route.ts","4","4","导入@4","导入","引入本文件依赖"
"app/api/chat/route.ts","5","5","导入@5","导入","引入本文件依赖"
"app/api/chat/route.ts","6","12","导入@6","导入","引入本文件依赖"
"app/api/chat/route.ts","13","16","导入@13","导入","引入本文件依赖"
"app/api/chat/route.ts","17","17","导入@17","导入","引入本文件依赖"
"app/api/chat/route.ts","18","21","导入@18","导入","引入本文件依赖"
"app/api/chat/route.ts","22","22","导入@22","导入","引入本文件依赖"
"app/api/chat/route.ts","23","23","导入@23","导入","引入本文件依赖"
"app/api/chat/route.ts","24","28","导入@24","导入","引入本文件依赖"
"app/api/chat/route.ts","29","40","导入@29","导入","引入本文件依赖"
"app/api/chat/route.ts","41","44","导入@41","导入","引入本文件依赖"
"app/api/chat/route.ts","45","45","导入@45","导入","引入本文件依赖"
"app/api/chat/route.ts","46","46","导入@46","导入","引入本文件依赖"
"app/api/chat/route.ts","47","47","导入@47","导入","引入本文件依赖"
