"文件","行号","所在符号","行类型","作用","代码摘要"
".vercel/repo.json","1","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","{"
".vercel/repo.json","2","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""remoteName"": ""origin"","
".vercel/repo.json","3","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""projects"": ["
".vercel/repo.json","4","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","{"
".vercel/repo.json","5","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""id"": ""prj_hm8TqnNpngf6UaJk4YsLTS09bE1S"","
".vercel/repo.json","6","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""name"": ""researchgpt"","
".vercel/repo.json","7","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""directory"": ""."","
".vercel/repo.json","8","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","""orgId"": ""team_Q0XtVLCqZyzoFmGbyf4fuAdh"""
".vercel/repo.json","9","(模块顶层)","结构结束","结束当前语句、对象或作用域；属于文件顶层","}"
".vercel/repo.json","10","(模块顶层)","结构结束","结束当前语句、对象或作用域；属于文件顶层","]"
".vercel/repo.json","11","(模块顶层)","结构结束","结束当前语句、对象或作用域；属于文件顶层","}"
".vercel/repo.json","12","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","1","(模块顶层)","注释/说明","记录设计意图、说明或文档内容；属于文件顶层","<!-- BEGIN:nextjs-agent-rules -->"
"AGENTS.md","2","(模块顶层)","注释/说明","记录设计意图、说明或文档内容；属于文件顶层","# This is NOT the Next.js you know"
"AGENTS.md","3","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","4","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","This version has breaking changes — APIs, conventions, and file structure may all differ from your training data. Read the relevant guide in `node_modules/next/dist/docs/` before writing any code. Heed deprecation notices."
"AGENTS.md","5","(模块顶层)","注释/说明","记录设计意图、说明或文档内容；属于文件顶层","<!-- END:nextjs-agent-rules -->"
"AGENTS.md","6","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","7","(模块顶层)","注释/说明","记录设计意图、说明或文档内容；属于文件顶层","## Chrome Extension"
"AGENTS.md","8","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","9","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","The Google Scholar MV3 extension lives in `extensions/google-scholar/`."
"AGENTS.md","10","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","11","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Read `docs/EXTENSION.md` before changing extension or `/api/extension/*` routes."
"AGENTS.md","12","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Content scripts parse visible Scholar DOM only on user click; no background scraping."
"AGENTS.md","13","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Service worker calls `POST /api/extension/save-paper` with Bearer token from `chrome.storage.local`."
"AGENTS.md","14","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Shared save logic: `lib/literature/server/extension-paper.ts`."
"AGENTS.md","15","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Extension auth: `lib/literature/server/extension-auth.ts` (Bearer token or cookie fallback)."
"AGENTS.md","16","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","17","(模块顶层)","注释/说明","记录设计意图、说明或文档内容；属于文件顶层","## Effect-First Development"
"AGENTS.md","18","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","19","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","Every user-facing change must be treated as incomplete until the visible effect is verified."
"AGENTS.md","20","(模块顶层)","空行","分隔代码结构，提高可读性；属于文件顶层",""
"AGENTS.md","21","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Read `docs/effect-first-development.md` before claiming that a feature is fixed, finished, deployed, or ready."
"AGENTS.md","22","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- Do not treat TypeScript/build success as proof that a product feature works."
"AGENTS.md","23","(模块顶层)","实现语句","执行当前作用域的具体业务、转换或配置逻辑；属于文件顶层","- For file generation features, create or inspect a real output file and verify that it opens, has the requested structure, and is not just chat text pasted into a document."
