"文件","行数","类别","扩展名","符号数","主要作用"
"app/api/chat/attachments/route.ts","158","Next.js API入口",".ts","14","该文件属于“Next.js API入口”模块"
"app/api/chat/route.ts","2753","Next.js API入口",".ts","135","该文件属于“Next.js API入口”模块"
"app/api/document-jobs/[id]/route.ts","82","Next.js API入口",".ts","3","该文件属于“Next.js API入口”模块"
"app/api/download/[id]/route.ts","61","Next.js API入口",".ts","5","该文件属于“Next.js API入口”模块"
"app/api/export/route.ts","186","Next.js API入口",".ts","16","该文件属于“Next.js API入口”模块"
"components/chat-input.tsx","474","React界面组件",".tsx","50","该文件属于“React界面组件”模块"
"components/chat-shell.tsx","2239","React界面组件",".tsx","215","该文件属于“React界面组件”模块"
"lib/ai/chat-models.ts","86","AI模型、成本与用量基础设施",".ts","6","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/errors.ts","15","AI模型、成本与用量基础设施",".ts","1","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/image-generation.ts","154","AI模型、成本与用量基础设施",".ts","14","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/openai.ts","498","AI模型、成本与用量基础设施",".ts","37","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/provider.ts","314","AI模型、成本与用量基础设施",".ts","29","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/types.ts","61","AI模型、成本与用量基础设施",".ts","15","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/usage-ledger.ts","79","AI模型、成本与用量基础设施",".ts","10","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/chat/client.ts","297","聊天路由、上下文、工具与历史",".ts","14","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/context-budget.ts","91","聊天路由、上下文、工具与历史",".ts","11","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/context-bundle.ts","382","聊天路由、上下文、工具与历史",".ts","27","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/export-guidance.ts","31","聊天路由、上下文、工具与历史",".ts","4","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/intent-router.ts","1035","聊天路由、上下文、工具与历史",".ts","52","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/message-normalize.ts","537","聊天路由、上下文、工具与历史",".ts","38","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/model-identity.ts","45","聊天路由、上下文、工具与历史",".ts","5","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/response-style.ts","37","聊天路由、上下文、工具与历史",".ts","4","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/server/attachments.ts","39","聊天服务端辅助模块",".ts","5","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/errors.ts","103","聊天服务端辅助模块",".ts","6","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/library-context.ts","90","聊天服务端辅助模块",".ts","17","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/prepare-messages.ts","50","聊天服务端辅助模块",".ts","8","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/stream-protocol.ts","44","聊天路由、上下文、工具与历史",".ts","2","该文件属于“聊天路由、上下文、工具与历史”模块"
